################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.1478077006697906E-02   7.7111173154335966E-02   3.2445895747668367E-02   6.2702877224464163E-03
         1          2   1.0887783551780451E-01   1.9541107598527707E-01   1.5439128297746291E-01   9.0412502928279136E-03
         1          3   0.0000000000000000E+00   2.1083174573925261E-02   1.7223276506203098E-04   6.7258536990982202E-04
         1          4   8.2521254417878595E-02   4.1742296339067886E-01   1.8644621559048380E-01   2.9509253808529638E-02
         1          5   2.8190504229993124E-01   5.2149899075043127E-01   3.5638593543711966E-01   3.3128452720085418E-02
         1          6   0.0000000000000000E+00   3.7902937299556662E-02   2.5593026089258572E-04   1.0085859417704372E-03
         1          7   0.0000000000000000E+00   1.1825866811104732E-01   2.2126032952353883E-03   7.1098272654611973E-03
         1          8   2.2831391071785445E-01   1.0419710369326856E+00   5.1492631731047867E-01   1.0787483849041171E-01
         1          9   2.3161440512650072E-01   6.9317905353016773E-01   3.8964020530979698E-01   8.0925031516298526E-02
         1         10   0.0000000000000000E+00   1.5070271340123687E-01   3.0139953819743222E-03   8.2113859677697548E-03
         1         11   0.0000000000000000E+00   2.4402568733101646E-01   1.1530922554954559E-02   3.0909610019487950E-02
         1         12   1.5376510254912962E-01   1.6793972955150365E+00   8.6346144617523723E-01   2.0709821268441073E-01
         1         13   6.0498803778185728E-02   8.3922085289703197E-01   3.5960503481841927E-01   1.0268352696505226E-01
         1         14   0.0000000000000000E+00   3.1866006928864837E-01   1.5151677004506849E-02   3.1890816608209527E-02
         1         15   0.0000000000000000E+00   3.4657647376929540E-01   2.6072340684140601E-02   5.7272616526997812E-02
