################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.8436642809598678E-01 a         1     0     1     1     1
  9.7354959154574247E-02 a         2     0     1     1     2
 -7.5372733544542814E-01 a         3     0     1     1     3
  9.3074409661236188E-02 a         4     0     1     1     4
  2.3280649154182054E-01 a         5     0     1     1     5
 -1.6094812740746869E-01 a         6     0     1     1     6
 -3.0850532968753099E-02 a         7     0     1     1     7
  1.3615195010644857E-01 a         8     0     1     1     8
  1.3563810438092944E-01 a         9     0     1     1     9
  1.2587681742997367E-01 a        10     0     1     1    10
  7.0745426925139604E-02 a        11     0     1     1    11
  7.8893652158960898E-03 a        12     0     1     1    12
 -1.7368628189589924E-01 a        13     0     1     1    13
 -2.3196785981016133E-01 a        14     0     1     1    14
 -2.1055421659866327E-01 a        15     0     1     1    15
 -3.0618603641451421E-02 a        16     0     1     1    16
 -7.9400298553448170E-02 a        17     0     1     1    17
  1.9645052025241755E-01 a        18     0     1     1    18
  1.2502179538601121E-01 a        19     0     1     1    19
 -3.8584179043271244E-01 a        20     0     1     1    20
 -6.1154589212185285E-02 a        21     0     2     1     1
  3.1934202599114297E-01 a        22     0     2     1     2
 -4.7863612864386652E-02 a        23     0     2     1     3
  1.7777809101140846E-01 a        24     0     2     1     4
 -3.7669771536089292E-01 a        25     0     2     1     5
 -5.7253626992713358E-01 a        26     0     2     1     6
 -1.6027846457943815E-01 a        27     0     2     1     7
  2.2413459852997317E-01 a        28     0     2     1     8
 -3.7999748920865321E-02 a        29     0     2     1     9
  3.5783961547313681E-01 a        30     0     2     1    10
 -2.7342981917842790E-01 a        31     0     2     1    11
  1.6088219428666561E-01 a        32     0     2     1    12
  4.0465311559582268E-01 a        33     0     2     1    13
 -1.3466863078040678E-01 a        34     0     2     1    14
 -4.7270176560106808E-01 a        35     0     2     1    15
  1.7149012276083123E-01 a        36     0     2     1    16
  1.0775919769158451E-01 a        37     0     2     1    17
  1.8298910168371657E-01 a        38     0     2     1    18
  2.6874143810710399E-01 a        39     0     2     1    19
  3.8123706939104263E-01 a        40     0     2     1    20
  1.2852101857305204E-01 a        41     0     3     1     1
  6.0028579879840803E-02 a        42     0     3     1     2
 -1.5724493218169786E-01 a        43     0     3     1     3
  2.2151001960433125E-02 a        44     0     3     1     4
 -1.4935383747016551E-01 a        45     0     3     1     5
 -1.0875660394694002E-01 a        46     0     3     1     6
 -1.7628148846120240E-02 a        47     0     3     1     7
  8.6528618933171181E-02 a        48     0     3     1     8
 -4.1480792808409543E-02 a        49     0     3     1     9
  1.4025053074596980E-01 a        50     0     3     1    10
  1.0733435403128715E-01 a        51     0     3     1    11
 -9.6880818607199715E-02 a        52     0     3     1    12
  2.8105595414905569E-02 a        53     0     3     1    13
 -6.6541542035293708E-02 a        54     0     3     1    14
 -1.1028352646146515E-01 a        55     0     3     1    15
 -2.5725544773586965E-02 a        56     0     3     1    16
 -1.5124505680304060E-01 a        57     0     3     1    17
 -7.6774513688639190E-02 a        58     0     3     1    18
  1.2194953776150877E-01 a        59     0     3     1    19
  6.2231384405787307E-02 a        60     0     3     1    20
  9.2366362430010687E-02 a        61     0     4     1     1
  1.9675376596211536E-01 a        62     0     4     1     2
 -7.4914727857430119E-01 a        63     0     4     1     3
 -1.0202753934302866E-01 a        64     0     4     1     4
 -8.0838448494597454E-02 a        65     0     4     1     5
  1.4441691180072996E-01 a        66     0     4     1     6
 -5.3868756223943948E-01 a        67     0     4     1     7
 -6.3057680392837297E-03 a        68     0     4     1     8
 -7.3429519374750812E-02 a        69     0     4     1     9
 -3.1561585640685591E-02 a        70     0     4     1    10
 -1.7264521282541664E-01 a        71     0     4     1    11
  1.9200922481660818E-01 a        72     0     4     1    12
 -1.9850324227114199E-01 a        73     0     4     1    13
  2.9880039372289507E-01 a        74     0     4     1    14
 -5.5827267975576064E-03 a        75     0     4     1    15
 -2.5452304788256336E-01 a        76     0     4     1    16
  1.5761838328895816E-01 a        77     0     4     1    17
 -2.2148162267813148E-01 a        78     0     4     1    18
 -2.1813948765815733E-01 a        79     0     4     1    19
  3.8496774709502104E-03 a        80     0     4     1    20
  2.1565852182051776E-01 a        81     0     5     1     1
 -1.7447699371683992E-01 a        82     0     5     1     2
  1.3905717040508597E-01 a        83     0     5     1     3
  2.4515274873111455E-02 a        84     0     5     1     4
 -3.7217243353531665E-01 a        85     0     5     1     5
  5.7709751738292336E-01 a        86     0     5     1     6
  8.5079513712294730E-01 a        87     0     5     1     7
 -3.1083302006287693E-02 a        88     0     5     1     8
 -9.3094412703974824E-02 a        89     0     5     1     9
 -9.5143482299857152E-01 a        90     0     5     1    10
  1.3226343345289890E-01 a        91     0     5     1    11
 -2.7615943076311579E-02 a        92     0     5     1    12
  2.5236395414856849E-02 a        93     0     5     1    13
 -1.5180965859146597E-01 a        94     0     5     1    14
  2.2795250570306499E-01 a        95     0     5     1    15
  8.3968592306372006E-02 a        96     0     5     1    16
  5.8650281873392363E-01 a        97     0     5     1    17
 -1.6984082931320391E-01 a        98     0     5     1    18
 -1.6443615821736113E-01 a        99     0     5     1    19
 -1.8339821742257684E-01 a       100     0     5     1    20
 -1.1796443562754959E-01 a       101     0     6     1     1
  9.8671101191304011E-02 a       102     0     6     1     2
 -7.4087771951547301E-03 a       103     0     6     1     3
  2.0423431750650339E-01 a       104     0     6     1     4
  5.2618163696448010E-04 a       105     0     6     1     5
 -7.4490227865999532E-03 a       106     0     6     1     6
  3.2113227821289864E-04 a       107     0     6     1     7
 -6.8102012243002677E-02 a       108     0     6     1     8
 -6.2212677010926011E-02 a       109     0     6     1     9
  1.2770033167629208E-01 a       110     0     6     1    10
  3.2967031933062531E-02 a       111     0     6     1    11
 -1.0042900068833144E-01 a       112     0     6     1    12
  4.0479693153752043E-02 a       113     0     6     1    13
 -1.3003447236526799E-01 a       114     0     6     1    14
  5.8582534636280249E-02 a       115     0     6     1    15
  1.1000132347624240E-01 a       116     0     6     1    16
  6.7208747765792110E-02 a       117     0     6     1    17
 -1.0512075283611357E-01 a       118     0     6     1    18
 -6.3748130003925083E-02 a       119     0     6     1    19
  4.2889039921322862E-02 a       120     0     6     1    20
 -1.3681888762708458E-01 a       121     0     7     1     1
 -8.8382752209466675E-02 a       122     0     7     1     2
  9.7242120155832765E-02 a       123     0     7     1     3
 -4.9911694209166038E-02 a       124     0     7     1     4
 -2.2256031723610889E-01 a       125     0     7     1     5
  1.8502688890922819E-01 a       126     0     7     1     6
  1.9557853055453620E-01 a       127     0     7     1     7
  2.6961729648829014E-01 a       128     0     7     1     8
 -3.5746176990429132E-02 a       129     0     7     1     9
 -3.8406671493462718E-01 a       130     0     7     1    10
  6.5263221745731582E-03 a       131     0     7     1    11
  2.1127857314462983E-01 a       132     0     7     1    12
 -1.7745353667361158E-01 a       133     0     7     1    13
  6.9621917825460206E-02 a       134     0     7     1    14
 -1.6807349901870680E-01 a       135     0     7     1    15
  3.5274944330090464E-02 a       136     0     7     1    16
  1.0533652445391449E-01 a       137     0     7     1    17
 -5.1362610449900731E-02 a       138     0     7     1    18
  6.2304923536543426E-02 a       139     0     7     1    19
 -3.9181483700003857E-02 a       140     0     7     1    20
  1.3812151284367198E-02 a       141     0     8     1     1
 -1.7249524780228898E-01 a       142     0     8     1     2
  1.0507317390115285E+00 a       143     0     8     1     3
  9.1083028691096565E-02 a       144     0     8     1     4
  7.8637586392074812E-02 a       145     0     8     1     5
  3.1459034491151749E-01 a       146     0     8     1     6
  1.7604496503484363E-01 a       147     0     8     1     7
 -1.7463769569423224E-01 a       148     0     8     1     8
 -7.9855442837610986E-03 a       149     0     8     1     9
  1.8683897464370017E-01 a       150     0     8     1    10
  2.6305762904773450E-01 a       151     0     8     1    11
 -4.5723536396940923E-03 a       152     0     8     1    12
 -2.0297628112724503E-01 a       153     0     8     1    13
  3.0022332934321705E-01 a       154     0     8     1    14
  1.3317538146892308E-01 a       155     0     8     1    15
 -1.1611399618598120E-01 a       156     0     8     1    16
 -2.0532829247223153E-01 a       157     0     8     1    17
  1.5296156954343590E-01 a       158     0     8     1    18
 -7.4400049607050017E-02 a       159     0     8     1    19
  1.4528870535494307E-01 a       160     0     8     1    20
 -2.0265963241939658E-01 a       161     0     9     1     1
 -1.7101960985220641E-02 a       162     0     9     1     2
 -8.3258353105686803E-03 a       163     0     9     1     3
  1.3116875027172969E-01 a       164     0     9     1     4
  1.4038437934125841E-01 a       165     0     9     1     5
 -2.6018101238486613E-01 a       166     0     9     1     6
 -3.8906774562380753E-01 a       167     0     9     1     7
