################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -8.0385320969916477E-02 a         1     0     1     1     1
 -9.8374573827801723E-02 a         2     0     1     1     2
 -7.9052237921003243E-02 a         3     0     1     1     3
  8.3321449662628708E-02 a         4     0     1     1     4
  1.7939348782723966E-01 a         5     0     1     1     5
  4.2622934264093415E-02 a         6     0     1     1     6
  1.4818308119175813E-01 a         7     0     1     1     7
  1.3255257981172884E-02 a         8     0     1     1     8
 -1.8438623655948397E-01 a         9     0     1     1     9
  6.6428102032323147E-02 a        10     0     1     1    10
 -1.8490434107163550E-01 a        11     0     1     1    11
  4.3125028460008964E-02 a        12     0     1     1    12
  2.4999394290884047E-02 a        13     0     1     1    13
  1.4025652437576860E-01 a        14     0     1     1    14
  4.2935838749798158E-02 a        15     0     1     1    15
 -2.8284979633248195E-02 a        16     0     1     1    16
  8.9084160987825900E-02 a        17     0     1     1    17
 -6.5308176511229860E-02 a        18     0     1     1    18
  1.1988628019654496E-01 a        19     0     1     1    19
 -1.5466308326518397E-02 a        20     0     1     1    20
 -1.2669392235355681E-01 a        21     0     2     1     1
  3.9096270744227238E-02 a        22     0     2     1     2
  1.1064982620735631E-01 a        23     0     2     1     3
 -4.8543501200819404E-03 a        24     0     2     1     4
 -9.0847593683716199E-02 a        25     0     2     1     5
  1.1260022712137270E-01 a        26     0     2     1     6
 -7.4096539534087305E-02 a        27     0     2     1     7
  8.9449395348045149E-02 a        28     0     2     1     8
  1.3624293832145878E-01 a        29     0     2     1     9
 -4.2418946086791804E-03 a        30     0     2     1    10
 -1.6926168631493563E-01 a        31     0     2     1    11
 -1.0609547514196598E-01 a        32     0     2     1    12
  2.2110114217869989E-01 a        33     0     2     1    13
  3.8001960355468697E-02 a        34     0     2     1    14
  1.1707622527781084E-01 a        35     0     2     1    15
 -2.5389453168216003E-02 a        36     0     2     1    16
 -4.0728916841992348E-02 a        37     0     2     1    17
  1.4775475503046145E-01 a        38     0     2     1    18
 -1.9779941958835038E-02 a        39     0     2     1    19
  4.8605990259115640E-02 a        40     0     2     1    20
 -1.0564535106346927E-01 a        41     0     3     1     1
 -4.0114261915818780E-02 a        42     0     3     1     2
  3.2394868814503576E-02 a        43     0     3     1     3
 -1.1771687878119490E-01 a        44     0     3     1     4
  2.5425247279790253E-01 a        45     0     3     1     5
 -4.6376272059884004E-02 a        46     0     3     1     6
  1.6633213446472114E-01 a        47     0     3     1     7
  1.1897308090160104E-01 a        48     0     3     1     8
  5.4541594803494652E-02 a        49     0     3     1     9
  1.1384072958386232E-01 a        50     0     3     1    10
 -1.0575947951475538E-01 a        51     0     3     1    11
 -2.4545434345205844E-03 a        52     0     3     1    12
  1.6674438187503585E-01 a        53     0     3     1    13
 -7.3069174507402926E-02 a        54     0     3     1    14
  6.0080917899301568E-02 a        55     0     3     1    15
  3.9901378892299742E-02 a        56     0     3     1    16
 -8.9439068673310876E-02 a        57     0     3     1    17
  1.3880816084289976E-01 a        58     0     3     1    18
  2.4405406041320579E-01 a        59     0     3     1    19
  4.0618967405808767E-02 a        60     0     3     1    20
 -1.2853695013380700E-01 a        61     0     4     1     1
 -2.1832230308852996E-02 a        62     0     4     1     2
 -6.9148008414004175E-02 a        63     0     4     1     3
  6.7512067962872610E-02 a        64     0     4     1     4
 -4.6258293098095052E-02 a        65     0     4     1     5
  9.2652285857632508E-02 a        66     0     4     1     6
  1.1698435049729280E-01 a        67     0     4     1     7
 -1.0806573000946233E-01 a        68     0     4     1     8
  3.6853888218116790E-02 a        69     0     4     1     9
 -3.9630114773040473E-02 a        70     0     4     1    10
  1.1124663238421087E-01 a        71     0     4     1    11
 -2.9876621316260440E-02 a        72     0     4     1    12
 -1.0271346720007067E-01 a        73     0     4     1    13
 -2.1621168024045753E-01 a        74     0     4     1    14
  1.3062506194081773E-02 a        75     0     4     1    15
 -1.2751823758217479E-01 a        76     0     4     1    16
  1.5242536548780822E-01 a        77     0     4     1    17
  1.1685052809016994E-01 a        78     0     4     1    18
 -2.8256662046366836E-02 a        79     0     4     1    19
  1.4310558121377007E-01 a        80     0     4     1    20
  1.1923608360336309E-01 a        81     0     5     1     1
  6.3482692744600500E-02 a        82     0     5     1     2
  1.8386282339128972E-02 a        83     0     5     1     3
 -8.4401768567737803E-02 a        84     0     5     1     4
 -2.4967567015408299E-03 a        85     0     5     1     5
  4.2800736059705018E-02 a        86     0     5     1     6
  2.7847111560917185E-02 a        87     0     5     1     7
 -1.4833417684927816E-01 a        88     0     5     1     8
  1.5732647015404710E-01 a        89     0     5     1     9
 -1.6820599968725919E-01 a        90     0     5     1    10
  2.9102672767460615E-02 a        91     0     5     1    11
  5.3413973608641284E-05 a        92     0     5     1    12
  1.3681299707213646E-01 a        93     0     5     1    13
 -2.3494923052197531E-01 a        94     0     5     1    14
 -1.3486481285426752E-01 a        95     0     5     1    15
  6.5345013792114978E-02 a        96     0     5     1    16
 -2.7715726140705466E-01 a        97     0     5     1    17
 -5.3354879325854192E-02 a        98     0     5     1    18
  8.5608246275290845E-02 a        99     0     5     1    19
  1.6553252237032262E-01 a       100     0     5     1    20
  1.0927186779715028E-01 a       101     0     6     1     1
 -8.2291494796049941E-02 a       102     0     6     1     2
 -5.3558043246982913E-02 a       103     0     6     1     3
  3.1022521117886719E-02 a       104     0     6     1     4
  1.4900470369289567E-01 a       105     0     6     1     5
 -1.0564372311132955E-01 a       106     0     6     1     6
  1.6830318626501425E-01 a       107     0     6     1     7
 -9.9609121675436924E-02 a       108     0     6     1     8
 -2.1685322921621487E-02 a       109     0     6     1     9
 -5.4245755604707423E-02 a       110     0     6     1    10
  2.4478954868251021E-01 a       111     0     6     1    11
  1.2062883056736957E-01 a       112     0     6     1    12
 -1.9188677979988611E-01 a       113     0     6     1    13
  1.4845569739565609E-01 a       114     0     6     1    14
 -1.0185092595011140E-01 a       115     0     6     1    15
  4.7799278606212671E-02 a       116     0     6     1    16
  1.6045404827443671E-03 a       117     0     6     1    17
 -2.1654854619720268E-01 a       118     0     6     1    18
 -3.4932598076768302E-02 a       119     0     6     1    19
  2.5477480223823012E-01 a       120     0     6     1    20
  4.3544119265501842E-02 a       121     0     7     1     1
  1.9808814198913345E-02 a       122     0     7     1     2
 -9.3652358050395849E-03 a       123     0     7     1     3
 -2.2792030668950269E-01 a       124     0     7     1     4
  1.2626384567909332E-01 a       125     0     7     1     5
  1.4592015048585913E-01 a       126     0     7     1     6
 -2.0785496974245063E-01 a       127     0     7     1     7
 -1.7811804074220272E-01 a       128     0     7     1     8
 -7.9173565133979704E-02 a       129     0     7     1     9
  1.3853558110919647E-02 a       130     0     7     1    10
  3.6586127687600514E-02 a       131     0     7     1    11
 -1.9157201604017828E-02 a       132     0     7     1    12
  5.5865604902616750E-03 a       133     0     7     1    13
 -8.1977231144166454E-02 a       134     0     7     1    14
 -1.6455099604087903E-01 a       135     0     7     1    15
  2.4806156260768716E-01 a       136     0     7     1    16
  5.2382146960999680E-02 a       137     0     7     1    17
 -1.4931380818957327E-01 a       138     0     7     1    18
 -1.9006399452818973E-01 a       139     0     7     1    19
  2.0560438182777696E-01 a       140     0     7     1    20
 -7.3849485064121312E-02 a       141     0     8     1     1
  5.4192192586926986E-02 a       142     0     8     1     2
 -6.0754464091267939E-02 a       143     0     8     1     3
 -1.5544297459596240E-01 a       144     0     8     1     4
  6.8019880856859796E-02 a       145     0     8     1     5
 -1.3282129646701896E-01 a       146     0     8     1     6
  2.2373293432442501E-02 a       147     0     8     1     7
  2.3296237363244696E-01 a       148     0     8     1     8
  1.7621040182466133E-01 a       149     0     8     1     9
  6.0804185947441948E-02 a       150     0     8     1    10
 -1.5426637567057771E-02 a       151     0     8     1    11
 -1.0989157675001253E-01 a       152     0     8     1    12
  1.6043651326346289E-01 a       153     0     8     1    13
 -2.6354942910280860E-01 a       154     0     8     1    14
 -3.4206371628406021E-02 a       155     0     8     1    15
  1.2502710842677911E-01 a       156     0     8     1    16
  5.9812663367687438E-02 a       157     0     8     1    17
  1.8699661751259145E-01 a       158     0     8     1    18
  1.1392553589587960E-01 a       159     0     8     1    19
 -3.1189298791615533E-01 a       160     0     8     1    20
  3.9604999981395231E-02 a       161     0     9     1     1
  6.2448317332847114E-02 a       162     0     9     1     2
 -1.8985176930307754E-01 a       163     0     9     1     3
  5.3412108146263217E-02 a       164     0     9     1     4
 -1.1755506660611763E-01 a       165     0     9     1     5
  8.8553804376424683E-02 a       166     0     9     1     6
 -1.3076366410729068E-01 a       167     0     9     1     7
  1.3711166408605138E-01 a       168     0     9     1     8
 -1.8763327077655773E-01 a       169     0     9     1     9
  5.4188902483996215E-02 a       170     0     9     1    10
  2.8279583198520551E-02 a       171     0     9     1    11
 -1.3935351541185536E-04 a       172     0     9     1    12
 -1.4092947589544453E-03 a       173     0     9     1    13
  2.2764477117319409E-01 a       174     0     9     1    14
  2.0445582407338025E-01 a       175     0     9     1    15
  8.5866269656111410E-02 a       176     0     9     1    16
  2.2236830121497234E-01 a       177     0     9     1    17
 -1.3655324242245354E-01 a       178     0     9     1    18
 -3.2148570265248116E-02 a       179     0     9     1    19
 -2.6136229802451083E-01 a       180     0     9     1    20
  1.4320497981839767E-01 a       181     0    10     1     1
  9.0891902114589543E-02 a       182     0    10     1     2
  1.1482526607753274E-01 a       183     0    10     1     3
 -1.5178952384097208E-01 a       184     0    10     1     4
 -5.3485923357939821E-02 a       185     0    10     1     5
 -7.9432600248569435E-02 a       186     0    10     1     6
 -2.5521163633482086E-01 a       187     0    10     1     7
 -4.5389121755945686E-02 a       188     0    10     1     8
 -1.9679242608997685E-01 a       189     0    10     1     9
 -1.3861085595246836E-01 a       190     0    10     1    10
